card_set,card_rarity,card_name,card_index,card_price,created_time
eb01,P-L,光月おでん(パラレル),EB01-001,980,2025-04-08 20:17:51
eb01,P-R,キッド&キラー(パラレル),EB01-003,980,2025-04-08 20:17:56
eb01,P-SR,トニートニー・チョッパー(パラレル),EB01-006,1280,2025-04-08 20:17:59
eb01,P-SR,トニートニー・チョッパー(パラレル)(スーパーパラレル),EB01-006,79800,2025-04-08 20:18:03
eb01,P-SR,キャベンディッシュ(パラレル),EB01-012,1280,2025-04-08 20:18:08
eb01,P-R,光月日和(パラレル),EB01-013,780,2025-04-08 20:18:11
eb01,P-L,ハンニャバル(パラレル),EB01-021,980,2025-04-08 20:18:15
eb01,P-SR,イナズマ(パラレル),EB01-022,780,2025-04-08 20:18:20
eb01,P-R,Mr.1(ダズ・ボーネス)(パラレル),EB01-027,980,2025-04-08 20:18:24
eb01,P-R,カリファ(パラレル),EB01-031,780,2025-04-08 20:18:28
eb01,P-SR,ミス・ウェンズデー(パラレル),EB01-034,780,2025-04-08 20:18:32
eb01,P-L,キュロス(パラレル),EB01-040,980,2025-04-08 20:18:36
eb01,P-SR,ブルック(パラレル),EB01-046,1280,2025-04-08 20:18:39
eb01,P-SR,ラブーン(パラレル),EB01-048,980,2025-04-08 20:18:43
eb01,P-R,Tボーン(パラレル),EB01-049,780,2025-04-08 20:18:47
eb01,P-SR,ヴィオラ(パラレル),EB01-052,780,2025-04-08 20:18:50
eb01,P-R,シャーロット・フランペ(パラレル),EB01-056,1780,2025-04-08 20:18:54
eb01,P-SR,しらほし(パラレル),EB01-057,2480,2025-04-08 20:18:58
eb01,SEC,Mr.2・ボン・クレー(ベンサム),EB01-061,2980,2025-04-08 20:19:01
eb01,P-SEC,Mr.2・ボン・クレー(ベンサム)(パラレル),EB01-061,5980,2025-04-08 20:19:05
eb02,P-R,トニートニー・チョッパー(パラレル),EB02-003,780,2025-04-08 20:19:18
eb02,P-SR,ヤマト(パラレル),EB02-006,1280,2025-04-08 20:19:21
eb02,P-L,モンキー・D・ルフィ(パラレル),EB02-010,14800,2025-04-08 20:19:25
eb02,P-SR,アーロン(パラレル),EB02-011,780,2025-04-08 20:19:30
eb02,P-SR,ジュエリー・ボニー(パラレル),EB02-015,1280,2025-04-08 20:19:34
eb02,P-R,ナミ(パラレル),EB02-017,2480,2025-04-08 20:19:38
eb02,P-R,ウソップ(パラレル),EB02-022,780,2025-04-08 20:19:46
eb02,P-SR,ネフェルタリ・ビビ(パラレル),EB02-026,2480,2025-04-08 20:19:49
eb02,P-SR,サンジ&プリン(パラレル),EB02-035,3480,2025-04-08 20:19:53
eb02,P-R,ニコ・ロビン(パラレル),EB02-036,1480,2025-04-08 20:19:57
eb02,P-SR,センゴク(パラレル),EB02-044,1480,2025-04-08 20:20:05
eb02,P-SR,トラファルガー・ロー(パラレル),EB02-045,980,2025-04-08 20:20:09
eb02,P-R,ブルック(パラレル),EB02-048,780,2025-04-08 20:20:16
eb02,P-SR,エネル(パラレル),EB02-052,1980,2025-04-08 20:20:20
eb02,P-R,サンジ(パラレル),EB02-054,1280,2025-04-08 20:20:27
eb02,P-SR,ベガパンク(パラレル),EB02-056,980,2025-04-08 20:20:32
eb02,SEC,モンキー・D・ルフィ,EB02-061,2980,2025-04-08 20:20:40
eb02,P-SEC,モンキー・D・ルフィ(パラレル),EB02-061,4980,2025-04-08 20:20:43
eb02,P-SEC,モンキー・D・ルフィ(パラレル)(スーパーパラレル),EB02-061,128000,2025-04-08 20:20:47
eb02,P-L,サボ(パラレル/箔押し),OP05-001,2980,2025-04-08 20:20:51
eb02,P-L,ベロ・ベティ(パラレル/箔押し),OP05-002,3980,2025-04-08 20:20:54
eb02,P-L,ドンキホーテ・ロシナンテ(パラレル/箔押し),OP05-022,3980,2025-04-08 20:20:58
eb02,P-L,モンキー・D・ルフィ(パラレル/箔押し),OP05-060,7980,2025-04-08 20:21:03
eb02,P-L,エネル(パラレル/箔押し),OP05-098,9980,2025-04-08 20:21:06
eb02,P-L,ウタ(パラレル/箔押し),OP06-001,9980,2025-04-08 20:21:10
eb02,P-L,ホーディ・ジョーンズ(パラレル/箔押し),OP06-020,1980,2025-04-08 20:21:14
eb02,P-L,ペローナ(パラレル/箔押し),OP06-021,4980,2025-04-08 20:21:18
eb02,P-L,ヤマト(パラレル/箔押し),OP06-022,7980,2025-04-08 20:21:24
eb02,P-L,ヴィンスモーク・レイジュ(パラレル/箔押し),OP06-042,7980,2025-04-08 20:21:28
eb02,P-L,ゲッコー・モリア(パラレル/箔押し),OP06-080,3980,2025-04-08 20:21:32
eb02,P-L,モンキー・D・ドラゴン(パラレル/箔押し),OP07-001,1980,2025-04-08 20:21:36
eb02,P-L,ジュエリー・ボニー(パラレル/箔押し),OP07-019,7980,2025-04-08 20:21:40
eb02,P-L,ボア・ハンコック(パラレル/箔押し),OP07-038,24800,2025-04-08 20:21:43
eb02,P-L,フォクシー(パラレル/箔押し),OP07-059,2980,2025-04-08 20:21:47
eb02,P-L,ロブ・ルッチ(パラレル/箔押し),OP07-079,3980,2025-04-08 20:21:52
eb02,P-L,ベガパンク(パラレル/箔押し),OP07-097,2480,2025-04-08 20:21:56
eb02,P-L,トニートニー・チョッパー(パラレル/箔押し),OP08-001,3980,2025-04-08 20:21:59
eb02,P-L,マルコ(パラレル/箔押し),OP08-002,4980,2025-04-08 20:22:03
eb02,P-L,キャロット(パラレル/箔押し),OP08-021,2980,2025-04-08 20:22:07
eb02,P-L,キング(パラレル/箔押し),OP08-057,2980,2025-04-08 20:22:11
eb02,P-L,シャーロット・プリン(パラレル/箔押し),OP08-058,5980,2025-04-08 20:22:15
eb02,P-L,カルガラ(パラレル/箔押し),OP08-098,2480,2025-04-08 20:22:19
eb02,P-L,光月おでん(パラレル/箔押し),EB01-001,3480,2025-04-08 20:22:22
eb02,P-L,ハンニャバル(パラレル/箔押し),EB01-021,1980,2025-04-08 20:22:26
eb02,P-L,キュロス(パラレル/箔押し),EB01-040,1980,2025-04-08 20:22:29
op01,P-L,ロロノア・ゾロ(パラレル),OP01-001,14800,2025-04-08 20:22:33
op01,P-L,トラファルガー・ロー(パラレル),OP01-002,9980,2025-04-08 20:22:37
op01,P-L,モンキー・D・ルフィ(パラレル),OP01-003,9980,2025-04-08 20:22:41
op01,P-R,サンジ(パラレル),OP01-013,1480,2025-04-08 20:22:45
op01,P-R,ナミ(パラレル),OP01-016,9980,2025-04-08 20:22:49
op01,P-SR,モンキー・D・ルフィ(パラレル),OP01-024,1280,2025-04-08 20:22:53
op01,P-SR,ロロノア・ゾロ(パラレル),OP01-025,3480,2025-04-08 20:22:57
op01,P-L,光月おでん(パラレル),OP01-031,1780,2025-04-08 20:23:01
op01,P-SR,錦えもん(パラレル),OP01-040,780,2025-04-08 20:23:05
op01,P-SR,トラファルガー・ロー(パラレル),OP01-047,1480,2025-04-08 20:23:09
op01,P-SR,ユースタス・キッド(パラレル),OP01-051,2480,2025-04-08 20:23:12
